C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,%ROST,+/-,TOT,AVG
0/0,0,0,0,0,0,0,72,958,5,119,95.5,0.5,200.1,13.3
0/0,0,0,0,200,926,9,27,212,1,32,95.8,0.2,199.6,14.3
0/0,0,0,0,0,0,0,71,988,5,118,92.7,0.5,199.5,14.3
0/0,0,0,0,0,0,0,64,1015,5,112,91.6,0.6,198.5,13.2
0/0,0,0,0,178,714,6,46,365,2,61,97,-0.7,197.9,14.1
0/0,0,0,0,0,0,0,64,858,8,100,98.2,0.4,197.1,13.1
0/0,0,0,0,4,26,0,66,974,5,104,95.7,0.2,195.7,14
0/0,0,0,0,2,8,0,70,957,5,116,95.9,0.1,195.7,13
0/0,0,0,0,0,0,0,76,924,4,104,97.2,0.6,194.4,13
0/0,0,0,0,229,951,6,32,251,1,42,89.8,0.8,192.9,13.8
0/0,0,0,0,185,864,8,26,225,1,34,92.9,0.5,192.9,13.8
0/0,0,0,0,192,791,6,39,315,1,52,72.3,6.2,192.3,13.7
0/0,0,0,0,4,25,0,77,901,4,124,94,-0.4,191.8,12.8
0/0,0,0,0,217,878,5,31,301,2,42,93.6,0.7,191.2,13.7
234/368,2722,14,7,58,296,2,0,0,0,0,4.5,-0.2,190.2,17.3
0/0,0,0,0,8,53,0,70,769,6,109,88.2,0.5,188.6,12.6
0/0,0,0,0,205,832,7,31,257,1,39,92.9,0,187.6,13.4
0/0,0,0,0,249,1094,8,16,127,1,21,94.6,-0.1,187.4,13.4
0/0,0,0,0,2,11,0,58,870,7,95,94.6,0.3,187.4,12.5
0/0,0,0,0,0,0,0,75,820,5,115,70.1,5.3,185.4,12.4
0/0,0,0,0,0,0,0,72,772,6,103,91.7,1.5,184.2,12.3
0/0,0,0,0,4,23,0,65,766,5,104,58.9,5,178.3,11.9
0/0,0,0,0,60,259,2,65,583,3,87,88.9,-0.2,176.8,12.6
0/0,0,0,0,0,0,0,58,777,6,91,82,1.9,174.1,11.6
0/0,0,0,0,4,21,0,64,794,4,103,51.8,5.9,173.4,11.6
0/0,0,0,0,0,0,0,61,833,5,109,60.5,1,172.7,11.5
0/0,0,0,0,0,0,0,60,836,5,95,83.1,1.2,172.3,13.3
0/0,0,0,0,7,43,0,70,737,4,111,39.8,3.3,172.2,11.5
0/0,0,0,0,75,317,1,70,478,2,91,62.3,0.6,171.7,12.3
0/0,0,0,0,0,0,0,60,748,6,103,76.1,1.7,171.6,12.3
0/0,0,0,0,84,379,3,52,474,3,67,91,0.1,171.1,12.2
